observable_key,method,subset_size,bin_index,x_plot,n_train_mean,n_test_total,pca_components_mean,pca_explained_variance_mean,n_valid,rmse,bias,r2,normalized_rmse,coverage_1sigma
smf_z0,pca_0p99,1024,0,8.0,819.19921875,1024,6.0,0.9919515649121582,1024,0.09285354468412799,0.0020779521234116772,0.8664701202188092,1.0141560601906692,0.79296875
smf_z0,pca_0p99,1024,1,8.25,819.19921875,1024,6.0,0.9919515649121582,1024,0.06812840001850011,0.001127408290278717,0.8096779088666234,1.2721752461867175,0.76171875
smf_z0,pca_0p99,1024,2,8.5,819.19921875,1024,6.0,0.9919515649121582,1024,0.044232396114588325,0.00010947978426604468,0.9236748126914535,0.9928375885102733,0.767578125
smf_z0,pca_0p99,1024,3,8.75,819.19921875,1024,6.0,0.9919515649121582,1024,0.04780302573874385,-0.0005179952192010376,0.9458120721789317,0.9831069349432762,0.7548828125
smf_z0,pca_0p99,1024,4,9.0,819.19921875,1024,6.0,0.9919515649121582,1024,0.062372980366011764,-0.0006582315710721516,0.9452797868080385,1.0198580976685974,0.7880859375
smf_z0,pca_0p99,1024,5,9.25,819.19921875,1024,6.0,0.9919515649121582,1024,0.07400064834708456,-0.000502084738463394,0.9527676199497181,1.0917739967790372,0.734375
smf_z0,pca_0p99,1024,6,9.5,819.19921875,1024,6.0,0.9919515649121582,1024,0.09241815759280107,-8.598594412321321e-05,0.9535792116610617,1.1660837666580255,0.6953125
smf_z0,pca_0p99,1024,7,9.75,819.19921875,1024,6.0,0.9919515649121582,1024,0.12549521808594424,0.0009435525631592925,0.9440822086807295,1.1993635258930184,0.6845703125
smf_z0,pca_0p99,1024,8,10.0,819.19921875,1024,6.0,0.9919515649121582,1024,0.17273190055450158,0.0027592415909353813,0.929947044818348,1.3326002635688718,0.654296875
smf_z0,pca_0p99,1024,9,10.25,819.19921875,1024,6.0,0.9919515649121582,1024,0.24090853649346616,0.005257668643466302,0.911448427758821,1.5099256947829807,0.59765625
smf_z0,pca_0p99,1024,10,10.5,819.19921875,1024,6.0,0.9919515649121582,1024,0.32636726518099485,0.008030111267743546,0.8955809523712038,1.5584140066635537,0.58203125
smf_z0,pca_0p99,1024,11,10.75,819.19921875,1024,6.0,0.9919515649121582,1024,0.404485178681142,0.009792291306160852,0.8879852158265266,1.5514025228244033,0.5634765625
smf_z0,pca_0p99,1024,12,11.0,819.19921875,1024,6.0,0.9919515649121582,1024,0.4720174355842062,0.00950225231658811,0.8729128660048971,1.544098385644303,0.5302734375
smf_z0,pca_0p99,1024,13,11.25,819.19921875,1024,6.0,0.9919515649121582,1024,0.5238921907825062,0.0072003786396708045,0.8369126874734356,1.360011222851686,0.5654296875
smf_z0,pca_0p999,64,0,8.0,51.1875,64,9.203125,0.9991951096351777,64,0.18433983183932334,0.0014632774920561725,0.4437131390676958,1.5054090491832948,0.546875
smf_z0,pca_0p999,64,1,8.25,51.1875,64,9.203125,0.9991951096351777,64,0.10193993293181601,0.008208672742889132,0.5492213413874145,1.3568483536401064,0.59375
smf_z0,pca_0p999,64,2,8.5,51.1875,64,9.203125,0.9991951096351777,64,0.09283412487404458,0.010780764215255496,0.6877086667603622,1.2057288050704897,0.671875
smf_z0,pca_0p999,64,3,8.75,51.1875,64,9.203125,0.9991951096351777,64,0.1256925189166142,0.019834377512012377,0.6776729326375561,1.3074354463507905,0.65625
smf_z0,pca_0p999,64,4,9.0,51.1875,64,9.203125,0.9991951096351777,64,0.17292344088887396,0.030250096255897016,0.6612575354434109,1.408760238092337,0.6875
smf_z0,pca_0p999,64,5,9.25,51.1875,64,9.203125,0.9991951096351777,64,0.21517048937667538,0.039216836115065365,0.6945378328096516,1.365381933806621,0.703125
smf_z0,pca_0p999,64,6,9.5,51.1875,64,9.203125,0.9991951096351777,64,0.2711163195083253,0.04845324767233189,0.7079976201056306,1.3727943463257395,0.6875
smf_z0,pca_0p999,64,7,9.75,51.1875,64,9.203125,0.9991951096351777,64,0.3563478707121202,0.0591090926255515,0.689334143897443,1.44749103949983,0.640625
smf_z0,pca_0p999,64,8,10.0,51.1875,64,9.203125,0.9991951096351777,64,0.46086857432970435,0.07253238169338687,0.6775641196073665,1.450118947738704,0.59375
smf_z0,pca_0p999,64,9,10.25,51.1875,64,9.203125,0.9991951096351777,64,0.5099181500390098,0.08234929517762027,0.7274326520457992,1.3387012525358004,0.578125
smf_z0,pca_0p999,64,10,10.5,51.1875,64,9.203125,0.9991951096351777,64,0.5760219489856293,0.084752515502481,0.7355574937565431,1.3404127679141382,0.65625
smf_z0,pca_0p999,64,11,10.75,51.1875,64,9.203125,0.9991951096351777,64,0.7234560853153953,0.0682546361259726,0.6725791094397784,1.426445114433514,0.484375
smf_z0,pca_0p999,64,12,11.0,51.1875,64,9.203125,0.9991951096351777,64,0.8061812094262703,0.05889956217183712,0.5843920160613865,1.5088469322092077,0.578125
smf_z0,pca_0p999,64,13,11.25,51.1875,64,9.203125,0.9991951096351777,64,0.8790437830705055,0.09262252648479587,0.4580918440301234,1.5433459030039873,0.59375
smf_z0,pca_0p999,128,0,8.0,102.390625,128,10.0,0.9993242843971452,128,0.1288875537877628,0.00036304800999172396,0.6678703656284588,1.1948774003867477,0.65625
smf_z0,pca_0p999,128,1,8.25,102.390625,128,10.0,0.9993242843971452,128,0.07255296336274036,-0.0003807246381885513,0.7255887745335116,1.2360535393551204,0.6015625
smf_z0,pca_0p999,128,2,8.5,102.390625,128,10.0,0.9993242843971452,128,0.062294721378016435,-0.001417881374289602,0.844881333786911,1.1055165460578833,0.6484375
smf_z0,pca_0p999,128,3,8.75,102.390625,128,10.0,0.9993242843971452,128,0.0785614307234346,-0.0013322859709702668,0.8622939638840494,1.1093230796136873,0.6953125
smf_z0,pca_0p999,128,4,9.0,102.390625,128,10.0,0.9993242843971452,128,0.10155454469503826,-7.463983543430815e-05,0.8716976806454727,1.1143200406806884,0.7265625
smf_z0,pca_0p999,128,5,9.25,102.390625,128,10.0,0.9993242843971452,128,0.12874578004159246,0.0016762077326650977,0.8778487789250919,1.1636158221295536,0.6875
smf_z0,pca_0p999,128,6,9.5,102.390625,128,10.0,0.9993242843971452,128,0.1694126941708339,0.005377345620791542,0.865342592831414,1.2833907028786384,0.71875
smf_z0,pca_0p999,128,7,9.75,102.390625,128,10.0,0.9993242843971452,128,0.24989036176270618,0.01393041632600617,0.8085143625674567,1.4694043117739926,0.65625
